Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.11.59;248;249;244;Geprueft
02.11.59;248;251;247;Geprueft
03.11.59;246;247;246;Geprueft
04.11.59;248;249;246;Geprueft
05.11.59;250;252;249;Geprueft
06.11.59;253;253;252;Geprueft
07.11.59;253;253;253;Geprueft
08.11.59;252;253;250;Geprueft
09.11.59;249;250;249;Geprueft
10.11.59;249;250;248;Geprueft
11.11.59;249;251;247;Geprueft
12.11.59;248;249;248;Geprueft
13.11.59;249;249;248;Geprueft
14.11.59;249;250;249;Geprueft
15.11.59;251;253;250;Geprueft
16.11.59;251;252;250;Geprueft
17.11.59;250;252;249;Geprueft
18.11.59;249;250;249;Geprueft
19.11.59;247;250;245;Geprueft
20.11.59;246;246;246;Geprueft
21.11.59;245;246;245;Geprueft
22.11.59;245;245;245;Geprueft
23.11.59;247;251;245;Geprueft
24.11.59;251;251;250;Geprueft
25.11.59;250;250;250;Geprueft
26.11.59;251;254;250;Geprueft
27.11.59;251;253;248;Geprueft
28.11.59;253;267;249;Geprueft
29.11.59;250;251;249;Geprueft
30.11.59;251;252;250;Geprueft
01.12.59;250;251;250;Geprueft
02.12.59;251;251;249;Geprueft
03.12.59;251;251;250;Geprueft
04.12.59;251;251;251;Geprueft
05.12.59;251;251;251;Geprueft
06.12.59;251;251;251;Geprueft
07.12.59;251;251;249;Geprueft
08.12.59;251;255;251;Geprueft
09.12.59;250;251;245;Geprueft
10.12.59;251;251;250;Geprueft
11.12.59;251;251;250;Geprueft
12.12.59;251;251;249;Geprueft
13.12.59;251;251;251;Geprueft
14.12.59;251;252;251;Geprueft
15.12.59;252;252;251;Geprueft
16.12.59;251;252;251;Geprueft
17.12.59;251;259;247;Geprueft
18.12.59;252;252;252;Geprueft
19.12.59;252;252;251;Geprueft
20.12.59;251;251;251;Geprueft
21.12.59;251;252;251;Geprueft
22.12.59;251;252;250;Geprueft
23.12.59;251;252;242;Geprueft
24.12.59;250;252;246;Geprueft
25.12.59;247;247;246;Geprueft
26.12.59;247;248;246;Geprueft
27.12.59;248;249;247;Geprueft
28.12.59;251;252;248;Geprueft
29.12.59;252;252;251;Geprueft
30.12.59;250;252;248;Geprueft
31.12.59;249;250;248;Geprueft
01.01.60;246;248;245;Geprueft
02.01.60;247;251;245;Geprueft
03.01.60;246;247;245;Geprueft
04.01.60;251;254;245;Geprueft
05.01.60;252;253;251;Geprueft
06.01.60;251;251;250;Geprueft
07.01.60;251;252;250;Geprueft
08.01.60;252;252;252;Geprueft
09.01.60;251;252;249;Geprueft
10.01.60;249;249;248;Geprueft
11.01.60;251;252;249;Geprueft
12.01.60;252;252;252;Geprueft
13.01.60;252;252;251;Geprueft
14.01.60;252;252;252;Geprueft
15.01.60;252;252;252;Geprueft
16.01.60;252;252;252;Geprueft
17.01.60;252;252;252;Geprueft
18.01.60;252;253;252;Geprueft
19.01.60;252;252;252;Geprueft
20.01.60;253;253;252;Geprueft
21.01.60;254;263;253;Geprueft
22.01.60;254;257;253;Geprueft
23.01.60;254;255;254;Geprueft
24.01.60;254;254;254;Geprueft
25.01.60;254;261;247;Geprueft
26.01.60;255;255;254;Geprueft
27.01.60;254;255;254;Geprueft
28.01.60;255;256;254;Geprueft
29.01.60;256;257;254;Geprueft
30.01.60;253;254;253;Geprueft
31.01.60;253;253;253;Geprueft
01.02.60;253;253;252;Geprueft
02.02.60;252;252;252;Geprueft
03.02.60;252;253;252;Geprueft
04.02.60;253;254;253;Geprueft
05.02.60;254;254;253;Geprueft
06.02.60;253;254;253;Geprueft
07.02.60;254;254;254;Geprueft
08.02.60;254;254;254;Geprueft
09.02.60;254;254;253;Geprueft
10.02.60;253;253;253;Geprueft
11.02.60;253;254;253;Geprueft
12.02.60;254;255;254;Geprueft
13.02.60;254;255;254;Geprueft
14.02.60;255;255;255;Geprueft
15.02.60;255;255;255;Geprueft
16.02.60;256;256;255;Geprueft
17.02.60;256;256;255;Geprueft
18.02.60;255;256;255;Geprueft
19.02.60;255;256;251;Geprueft
20.02.60;254;256;252;Geprueft
21.02.60;253;253;253;Geprueft
22.02.60;254;256;253;Geprueft
23.02.60;255;257;252;Geprueft
24.02.60;255;257;251;Geprueft
