Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2024-11-01;48,4;57,4;40;Rohdaten
2024-11-02;39,1;42,4;34,4;Rohdaten
2024-11-03;37,5;42,4;33,4;Rohdaten
2024-11-04;40,8;46,3;33,4;Rohdaten
2024-11-05;46;54,5;37,7;Rohdaten
2024-11-06;46,9;51,7;42,4;Rohdaten
2024-11-07;45,1;50,3;40;Rohdaten
2024-11-08;42,5;54,5;36,5;Rohdaten
2024-11-09;35,1;37,7;31,5;Rohdaten
2024-11-10;31,6;36,5;28,7;Rohdaten
2024-11-11;31;32,4;29,6;Rohdaten
2024-11-12;34,9;40;30,5;Rohdaten
2024-11-13;33,8;36,5;29,6;Rohdaten
2024-11-14;30,8;35,5;27,9;Rohdaten
2024-11-15;28,6;31,5;27;Rohdaten
2024-11-16;27;29,6;25,4;Rohdaten
2024-11-17;25,9;27,9;24,6;Rohdaten
2024-11-18;24,9;26,2;23,2;Rohdaten
