Zeitpunkt;Schwebstoff-Konzentration [g/m^3];Prüfstatus;Schwebstoff-Fracht [t];Prüfstatus;Schwebstoff-Abtrag [t/m^2];Prüfstatus;Schwebstoff-Transport [kg/s];Prüfstatus
01.01.24;9,24;Rohdaten;72,07;Rohdaten;0,03;Rohdaten;0,83;Rohdaten
02.01.24;9,23;Rohdaten;70,89;Rohdaten;0,03;Rohdaten;0,82;Rohdaten
03.01.24;9,22;Rohdaten;71,57;Rohdaten;0,03;Rohdaten;0,83;Rohdaten
04.01.24;9,15;Rohdaten;62,32;Rohdaten;0,02;Rohdaten;0,72;Rohdaten
05.01.24;9,02;Rohdaten;56,51;Rohdaten;0,02;Rohdaten;0,65;Rohdaten
06.01.24;8,89;Rohdaten;60,28;Rohdaten;0,02;Rohdaten;0,7;Rohdaten
07.01.24;9,8;Rohdaten;73,63;Rohdaten;0,03;Rohdaten;0,85;Rohdaten
08.01.24;8,72;Rohdaten;59,58;Rohdaten;0,02;Rohdaten;0,69;Rohdaten
09.01.24;9,04;Rohdaten;63,41;Rohdaten;0,02;Rohdaten;0,73;Rohdaten
10.01.24;8,62;Rohdaten;54,52;Rohdaten;0,02;Rohdaten;0,63;Rohdaten
11.01.24;8,54;Rohdaten;42,5;Rohdaten;0,02;Rohdaten;0,49;Rohdaten
12.01.24;8,43;Rohdaten;33,56;Rohdaten;0,01;Rohdaten;0,39;Rohdaten
13.01.24;8,52;Rohdaten;36,02;Rohdaten;0,01;Rohdaten;0,42;Rohdaten
14.01.24;8,41;Rohdaten;28,84;Rohdaten;0,01;Rohdaten;0,33;Rohdaten
15.01.24;8,39;Rohdaten;27,31;Rohdaten;0,01;Rohdaten;0,32;Rohdaten
16.01.24;8,49;Rohdaten;28,25;Rohdaten;0,01;Rohdaten;0,33;Rohdaten
17.01.24;8,56;Rohdaten;31,26;Rohdaten;0,01;Rohdaten;0,36;Rohdaten
18.01.24;8,62;Rohdaten;37,49;Rohdaten;0,01;Rohdaten;0,43;Rohdaten
19.01.24;8,85;Rohdaten;53;Rohdaten;0,02;Rohdaten;0,61;Rohdaten
20.01.24;8,56;Rohdaten;41,8;Rohdaten;0,02;Rohdaten;0,48;Rohdaten
21.01.24;8,38;Rohdaten;31,07;Rohdaten;0,01;Rohdaten;0,36;Rohdaten
22.01.24;8,7;Rohdaten;28,85;Rohdaten;0,01;Rohdaten;0,33;Rohdaten
23.01.24;8,81;Rohdaten;29,49;Rohdaten;0,01;Rohdaten;0,34;Rohdaten
24.01.24;8,99;Rohdaten;38,79;Rohdaten;0,01;Rohdaten;0,45;Rohdaten
25.01.24;19,98;Rohdaten;330,49;Rohdaten;0,12;Rohdaten;3,83;Rohdaten
26.01.24;774,61;Rohdaten;15278,47;Rohdaten;5,38;Rohdaten;176,83;Rohdaten
27.01.24;131,43;Rohdaten;2351,29;Rohdaten;0,83;Rohdaten;27,21;Rohdaten
28.01.24;12,76;Rohdaten;178,98;Rohdaten;0,06;Rohdaten;2,07;Rohdaten
29.01.24;10,91;Rohdaten;109,39;Rohdaten;0,04;Rohdaten;1,27;Rohdaten
30.01.24;10,23;Rohdaten;93,49;Rohdaten;0,03;Rohdaten;1,08;Rohdaten
31.01.24;9,98;Rohdaten;89,05;Rohdaten;0,03;Rohdaten;1,03;Rohdaten
01.02.24;9,76;Rohdaten;72,11;Rohdaten;0,03;Rohdaten;0,84;Rohdaten
02.02.24;9,54;Rohdaten;64,22;Rohdaten;0,02;Rohdaten;0,74;Rohdaten
03.02.24;9,33;Rohdaten;46,56;Rohdaten;0,02;Rohdaten;0,54;Rohdaten
