Zeitpunkt;Schwebstoff-Konzentration [g/m^3];Prüfstatus;Schwebstoff-Fracht [t];Prüfstatus;Schwebstoff-Abtrag [t/m^2];Prüfstatus;Schwebstoff-Transport [kg/s];Prüfstatus
31.10.65;25;Rohdaten;47,85;Rohdaten;0,02;Rohdaten;0,55;Rohdaten
01.11.65;18,06;Rohdaten;32,47;Rohdaten;0,01;Rohdaten;0,38;Rohdaten
02.11.65;11,57;Rohdaten;20,55;Rohdaten;0,01;Rohdaten;0,24;Rohdaten
03.11.65;11,11;Rohdaten;27,77;Rohdaten;0,01;Rohdaten;0,32;Rohdaten
04.11.65;9,88;Rohdaten;26,54;Rohdaten;0,01;Rohdaten;0,31;Rohdaten
05.11.65;5,87;Rohdaten;16,67;Rohdaten;0,01;Rohdaten;0,19;Rohdaten
06.11.65;5,56;Rohdaten;14,31;Rohdaten;0,01;Rohdaten;0,17;Rohdaten
07.11.65;5,56;Rohdaten;12,34;Rohdaten;0;Rohdaten;0,14;Rohdaten
08.11.65;6,79;Rohdaten;13,54;Rohdaten;0,01;Rohdaten;0,16;Rohdaten
09.11.65;12,04;Rohdaten;27,42;Rohdaten;0,01;Rohdaten;0,32;Rohdaten
10.11.65;13,42;Rohdaten;33;Rohdaten;0,01;Rohdaten;0,38;Rohdaten
11.11.65;10,01;Rohdaten;33,16;Rohdaten;0,01;Rohdaten;0,38;Rohdaten
12.11.65;8,87;Rohdaten;30,66;Rohdaten;0,01;Rohdaten;0,36;Rohdaten
13.11.65;21,78;Rohdaten;66,97;Rohdaten;0,02;Rohdaten;0,78;Rohdaten
14.11.65;25,46;Rohdaten;59,1;Rohdaten;0,02;Rohdaten;0,68;Rohdaten
15.11.65;23,92;Rohdaten;44,37;Rohdaten;0,02;Rohdaten;0,51;Rohdaten
16.11.65;12,04;Rohdaten;25,75;Rohdaten;0,01;Rohdaten;0,3;Rohdaten
17.11.65;11,11;Rohdaten;24,13;Rohdaten;0,01;Rohdaten;0,28;Rohdaten
18.11.65;9,88;Rohdaten;22,47;Rohdaten;0,01;Rohdaten;0,26;Rohdaten
19.11.65;5,87;Rohdaten;15,84;Rohdaten;0,01;Rohdaten;0,18;Rohdaten
20.11.65;5,56;Rohdaten;14,43;Rohdaten;0,01;Rohdaten;0,17;Rohdaten
21.11.65;5,56;Rohdaten;13,16;Rohdaten;0,01;Rohdaten;0,15;Rohdaten
22.11.65;5,56;Rohdaten;12,28;Rohdaten;0;Rohdaten;0,14;Rohdaten
23.11.65;5,56;Rohdaten;14,87;Rohdaten;0,01;Rohdaten;0,17;Rohdaten
24.11.65;8,03;Rohdaten;20,1;Rohdaten;0,01;Rohdaten;0,23;Rohdaten
25.11.65;16,05;Rohdaten;36,37;Rohdaten;0,01;Rohdaten;0,42;Rohdaten
26.11.65;18,15;Rohdaten;43,36;Rohdaten;0,02;Rohdaten;0,5;Rohdaten
27.11.65;24,45;Rohdaten;79,57;Rohdaten;0,03;Rohdaten;0,92;Rohdaten
28.11.65;24,2;Rohdaten;87,86;Rohdaten;0,03;Rohdaten;1,02;Rohdaten
29.11.65;10,62;Rohdaten;30,15;Rohdaten;0,01;Rohdaten;0,35;Rohdaten
30.11.65;17,47;Rohdaten;49,64;Rohdaten;0,02;Rohdaten;0,58;Rohdaten
01.12.65;7,32;Rohdaten;25,87;Rohdaten;0,01;Rohdaten;0,3;Rohdaten
02.12.65;8,26;Rohdaten;32,39;Rohdaten;0,01;Rohdaten;0,38;Rohdaten
03.12.65;8,69;Rohdaten;38,67;Rohdaten;0,01;Rohdaten;0,45;Rohdaten
04.12.65;17,07;Rohdaten;87,3;Rohdaten;0,03;Rohdaten;1,01;Rohdaten
05.12.65;11,7;Rohdaten;51,95;Rohdaten;0,02;Rohdaten;0,6;Rohdaten
06.12.65;9,67;Rohdaten;31,47;Rohdaten;0,01;Rohdaten;0,36;Rohdaten
07.12.65;20,11;Rohdaten;77,2;Rohdaten;0,03;Rohdaten;0,89;Rohdaten
08.12.65;15,91;Rohdaten;64,24;Rohdaten;0,02;Rohdaten;0,74;Rohdaten
09.12.65;12,67;Rohdaten;51,44;Rohdaten;0,02;Rohdaten;0,6;Rohdaten
10.12.65;15,54;Rohdaten;62,57;Rohdaten;0,02;Rohdaten;0,72;Rohdaten
11.12.65;12,35;Rohdaten;47,41;Rohdaten;0,02;Rohdaten;0,55;Rohdaten
12.12.65;8,64;Rohdaten;30,03;Rohdaten;0,01;Rohdaten;0,35;Rohdaten
