Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.01.24;132;135;128;Geprueft
02.01.24;131;133;130;Geprueft
03.01.24;132;134;128;Geprueft
04.01.24;124;128;121;Geprueft
05.01.24;120;122;119;Geprueft
06.01.24;124;128;122;Geprueft
07.01.24;129;132;127;Geprueft
08.01.24;124;128;121;Geprueft
09.01.24;126;128;123;Geprueft
10.01.24;120;128;113;Geprueft
11.01.24;109;113;100;Geprueft
12.01.24;100;107;93;Geprueft
13.01.24;103;109;93;Geprueft
14.01.24;94;102;90;Geprueft
15.01.24;92;96;87;Geprueft
16.01.24;93;98;89;Geprueft
17.01.24;97;101;92;Geprueft
18.01.24;104;115;100;Geprueft
19.01.24;118;123;114;Geprueft
20.01.24;109;115;101;Geprueft
21.01.24;97;102;92;Geprueft
22.01.24;93;96;90;Geprueft
23.01.24;94;100;90;Geprueft
24.01.24;103;118;98;Geprueft
25.01.24;173;227;117;Geprueft
26.01.24;217;227;200;Geprueft
27.01.24;203;211;193;Geprueft
28.01.24;176;194;158;Geprueft
29.01.24;148;159;138;Geprueft
30.01.24;142;151;136;Geprueft
31.01.24;140;144;137;Geprueft
01.02.24;129;138;121;Geprueft
02.02.24;124;130;115;Geprueft
03.02.24;110;123;98;Geprueft
04.02.24;99;104;91;Geprueft
05.02.24;100;114;92;Geprueft
06.02.24;110;118;97;Geprueft
07.02.24;112;119;98;Geprueft
08.02.24;120;125;116;Geprueft
09.02.24;119;124;113;Geprueft
10.02.24;119;124;115;Geprueft
11.02.24;121;124;119;Geprueft
12.02.24;124;127;119;Geprueft
13.02.24;122;125;117;Geprueft
14.02.24;119;122;115;Geprueft
15.02.24;115;120;111;Geprueft
16.02.24;121;125;116;Geprueft
17.02.24;125;133;119;Geprueft
18.02.24;131;137;118;Geprueft
19.02.24;125;143;118;Geprueft
20.02.24;147;152;143;Geprueft
21.02.24;139;145;133;Geprueft
22.02.24;133;135;130;Geprueft
23.02.24;126;133;117;Geprueft
24.02.24;126;131;122;Geprueft
25.02.24;124;126;122;Geprueft
26.02.24;124;127;121;Geprueft
27.02.24;116;127;104;Geprueft
28.02.24;116;122;113;Geprueft
29.02.24;116;119;113;Geprueft
01.03.24;119;124;116;Geprueft
02.03.24;109;120;91;Geprueft
03.03.24;101;104;97;Geprueft
04.03.24;103;115;96;Geprueft
05.03.24;116;122;109;Geprueft
06.03.24;123;133;112;Geprueft
07.03.24;136;141;131;Geprueft
08.03.24;127;132;113;Geprueft
09.03.24;110;114;104;Geprueft
10.03.24;108;112;103;Geprueft
11.03.24;112;118;105;Geprueft
12.03.24;110;123;106;Geprueft
13.03.24;116;123;108;Geprueft
14.03.24;107;118;93;Geprueft
15.03.24;98;108;88;Geprueft
16.03.24;97;104;93;Geprueft
17.03.24;99;108;89;Geprueft
18.03.24;97;105;91;Geprueft
19.03.24;111;122;94;Geprueft
20.03.24;110;120;104;Geprueft
21.03.24;99;108;92;Geprueft
22.03.24;107;112;100;Geprueft
23.03.24;113;117;110;Geprueft
24.03.24;108;112;103;Geprueft
25.03.24;101;104;98;Geprueft
26.03.24;102;107;92;Geprueft
27.03.24;101;107;91;Geprueft
28.03.24;106;112;98;Geprueft
29.03.24;105;113;96;Geprueft
