Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.11.73;50;58;44;Geprueft
02.11.73;45;53;43;Geprueft
03.11.73;49;57;43;Geprueft
04.11.73;45;57;31;Geprueft
05.11.73;46;52;35;Geprueft
06.11.73;49;54;43;Geprueft
07.11.73;51;54;43;Geprueft
08.11.73;48;54;40;Geprueft
09.11.73;46;53;33;Geprueft
10.11.73;43;50;38;Geprueft
11.11.73;38;45;31;Geprueft
12.11.73;37;47;31;Geprueft
13.11.73;37;49;30;Geprueft
14.11.73;56;91;35;Geprueft
15.11.73;96;117;85;Geprueft
16.11.73;170;205;117;Geprueft
17.11.73;176;191;159;Geprueft
18.11.73;134;159;118;Geprueft
19.11.73;108;118;97;Geprueft
20.11.73;95;97;90;Geprueft
21.11.73;89;98;76;Geprueft
22.11.73;72;76;68;Geprueft
23.11.73;67;74;60;Geprueft
24.11.73;68;71;65;Geprueft
25.11.73;65;69;61;Geprueft
26.11.73;71;80;65;Geprueft
27.11.73;68;71;62;Geprueft
28.11.73;72;75;68;Geprueft
29.11.73;68;72;62;Geprueft
30.11.73;63;69;57;Geprueft
01.12.73;59;64;48;Geprueft
02.12.73;59;71;53;Geprueft
03.12.73;59;66;51;Geprueft
04.12.73;60;65;55;Geprueft
05.12.73;67;89;56;Geprueft
06.12.73;94;98;85;Geprueft
07.12.73;96;99;90;Geprueft
08.12.73;99;106;95;Geprueft
09.12.73;97;103;89;Geprueft
10.12.73;85;89;82;Geprueft
11.12.73;79;85;72;Geprueft
12.12.73;70;75;63;Geprueft
13.12.73;64;68;57;Geprueft
14.12.73;69;73;63;Geprueft
15.12.73;71;75;67;Geprueft
16.12.73;66;71;59;Geprueft
17.12.73;63;73;57;Geprueft
18.12.73;67;70;64;Geprueft
19.12.73;62;77;42;Geprueft
20.12.73;59;68;47;Geprueft
21.12.73;60;66;56;Geprueft
22.12.73;61;64;53;Geprueft
23.12.73;57;62;50;Geprueft
24.12.73;53;58;47;Geprueft
25.12.73;51;57;42;Geprueft
26.12.73;52;53;50;Geprueft
27.12.73;51;57;48;Geprueft
28.12.73;56;57;54;Geprueft
29.12.73;57;58;49;Geprueft
30.12.73;53;60;45;Geprueft
31.12.73;48;56;38;Geprueft
01.01.74;46;54;38;Geprueft
02.01.74;44;55;35;Geprueft
03.01.74;51;55;47;Geprueft
04.01.74;56;64;45;Geprueft
05.01.74;53;57;33;Geprueft
06.01.74;48;54;40;Geprueft
07.01.74;47;53;38;Geprueft
08.01.74;51;61;40;Geprueft
09.01.74;51;56;45;Geprueft
10.01.74;52;54;48;Geprueft
11.01.74;54;57;51;Geprueft
12.01.74;59;67;53;Geprueft
13.01.74;56;61;41;Geprueft
14.01.74;54;61;47;Geprueft
15.01.74;56;63;49;Geprueft
16.01.74;71;81;59;Geprueft
17.01.74;75;81;70;Geprueft
18.01.74;73;87;70;Geprueft
19.01.74;122;139;87;Geprueft
20.01.74;116;128;98;Geprueft
21.01.74;95;104;89;Geprueft
22.01.74;91;96;83;Geprueft
23.01.74;85;88;79;Geprueft
24.01.74;80;86;76;Geprueft
25.01.74;78;79;75;Geprueft
26.01.74;75;78;69;Geprueft
27.01.74;70;74;63;Geprueft
28.01.74;63;66;58;Geprueft
29.01.74;64;67;58;Geprueft
30.01.74;65;70;60;Geprueft
31.01.74;70;75;65;Geprueft
01.02.74;67;71;59;Geprueft
02.02.74;67;69;64;Geprueft
03.02.74;61;65;53;Geprueft
04.02.74;62;72;49;Geprueft
05.02.74;72;80;63;Geprueft
06.02.74;72;76;69;Geprueft
07.02.74;74;78;67;Geprueft
08.02.74;72;77;68;Geprueft
09.02.74;72;79;69;Geprueft
10.02.74;68;77;56;Geprueft
11.02.74;60;63;56;Geprueft
12.02.74;61;68;54;Geprueft
13.02.74;66;69;63;Geprueft
14.02.74;66;72;56;Geprueft
15.02.74;73;76;69;Geprueft
16.02.74;70;84;50;Geprueft
17.02.74;56;67;47;Geprueft
18.02.74;52;58;43;Geprueft
19.02.74;53;61;47;Geprueft
20.02.74;64;70;61;Geprueft
21.02.74;69;75;62;Geprueft
22.02.74;73;75;72;Geprueft
23.02.74;73;75;70;Geprueft
24.02.74;68;72;63;Geprueft
25.02.74;67;72;59;Geprueft
26.02.74;66;69;62;Geprueft
27.02.74;68;73;63;Geprueft
28.02.74;67;72;66;Geprueft
01.03.74;60;67;51;Geprueft
02.03.74;57;60;52;Geprueft
03.03.74;59;62;55;Geprueft
04.03.74;59;62;46;Geprueft
05.03.74;58;63;48;Geprueft
06.03.74;55;59;49;Geprueft
07.03.74;50;56;41;Geprueft
08.03.74;47;51;42;Geprueft
09.03.74;46;55;42;Geprueft
10.03.74;44;50;39;Geprueft
11.03.74;42;59;36;Geprueft
12.03.74;52;57;48;Geprueft
13.03.74;52;59;48;Geprueft
14.03.74;54;63;46;Geprueft
15.03.74;58;64;54;Geprueft
16.03.74;53;60;46;Geprueft
17.03.74;51;68;42;Geprueft
18.03.74;65;74;53;Geprueft
19.03.74;77;95;64;Geprueft
20.03.74;81;91;74;Geprueft
21.03.74;87;98;77;Geprueft
22.03.74;87;98;79;Geprueft
23.03.74;94;101;86;Geprueft
24.03.74;91;97;83;Geprueft
25.03.74;85;91;79;Geprueft
26.03.74;79;85;74;Geprueft
27.03.74;84;89;72;Geprueft
28.03.74;75;88;69;Geprueft
29.03.74;79;98;77;Geprueft
30.03.74;94;108;74;Geprueft
31.03.74;75;80;61;Geprueft
01.04.74;65;76;58;Geprueft
02.04.74;74;75;70;Geprueft
03.04.74;70;71;66;Geprueft
04.04.74;70;77;66;Geprueft
05.04.74;66;80;50;Geprueft
06.04.74;64;69;54;Geprueft
07.04.74;56;63;50;Geprueft
08.04.74;52;60;43;Geprueft
09.04.74;58;61;56;Geprueft
10.04.74;53;56;51;Geprueft
11.04.74;55;59;47;Geprueft
12.04.74;53;59;49;Geprueft
13.04.74;49;53;45;Geprueft
14.04.74;48;53;43;Geprueft
15.04.74;44;47;40;Geprueft
16.04.74;48;60;39;Geprueft
17.04.74;56;72;42;Geprueft
18.04.74;58;72;41;Geprueft
19.04.74;58;60;56;Geprueft
20.04.74;52;57;45;Geprueft
21.04.74;47;52;41;Geprueft
22.04.74;47;57;30;Geprueft
23.04.74;55;64;44;Geprueft
24.04.74;56;64;47;Geprueft
25.04.74;59;67;53;Geprueft
26.04.74;65;79;52;Geprueft
27.04.74;57;63;47;Geprueft
28.04.74;52;57;48;Geprueft
29.04.74;48;76;36;Geprueft
30.04.74;48;59;40;Geprueft
01.05.74;87;110;51;Geprueft
02.05.74;75;97;56;Geprueft
03.05.74;65;68;58;Geprueft
04.05.74;58;61;54;Geprueft
05.05.74;73;107;56;Geprueft
06.05.74;104;114;89;Geprueft
07.05.74;92;104;76;Geprueft
08.05.74;78;92;68;Geprueft
09.05.74;67;76;60;Geprueft
10.05.74;63;71;53;Geprueft
11.05.74;62;67;55;Geprueft
12.05.74;75;84;66;Geprueft
13.05.74;62;69;52;Geprueft
14.05.74;63;75;51;Geprueft
15.05.74;71;76;66;Geprueft
16.05.74;65;71;59;Geprueft
17.05.74;62;68;56;Geprueft
18.05.74;55;64;47;Geprueft
19.05.74;47;68;28;Geprueft
20.05.74;44;53;37;Geprueft
21.05.74;45;47;40;Geprueft
22.05.74;46;52;42;Geprueft
23.05.74;52;60;43;Geprueft
24.05.74;53;57;45;Geprueft
25.05.74;55;61;49;Geprueft
26.05.74;55;61;48;Geprueft
27.05.74;49;59;42;Geprueft
28.05.74;61;68;58;Geprueft
29.05.74;66;69;63;Geprueft
30.05.74;67;74;64;Geprueft
31.05.74;66;77;40;Geprueft
01.06.74;84;106;65;Geprueft
02.06.74;87;102;67;Geprueft
03.06.74;60;68;55;Geprueft
