Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.11.24;11,7;12,1;11,4;Rohdaten
02.11.24;10,9;11,7;10,7;Rohdaten
03.11.24;10,5;10,7;10,4;Rohdaten
04.11.24;10,6;10,8;10,5;Rohdaten
05.11.24;10,5;10,8;10,3;Rohdaten
06.11.24;10,2;10,6;9,8;Rohdaten
07.11.24;10,3;10,6;10,2;Rohdaten
08.11.24;10;10,3;9,9;Rohdaten
09.11.24;9,8;10;9,7;Rohdaten
10.11.24;9,8;10;9,7;Rohdaten
11.11.24;9,4;9,8;9,3;Rohdaten
12.11.24;9,2;9,3;9;Rohdaten
13.11.24;8,7;9;8,5;Rohdaten
14.11.24;8,5;8,8;8,3;Rohdaten
15.11.24;8,7;8,9;8,6;Rohdaten
16.11.24;8,3;8,7;8,1;Rohdaten
17.11.24;7,9;8,1;7,8;Rohdaten
18.11.24;8,2;8,5;7,9;Rohdaten
