Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.11.80;8,1;8,1;8,1;Geprueft
02.11.80;7,3;7,3;7,3;Geprueft
03.11.80;5,8;5,8;5,8;Geprueft
04.11.80;5,6;5,6;5,6;Geprueft
05.11.80;4,8;4,8;4,8;Geprueft
06.11.80;4,7;4,7;4,7;Geprueft
07.11.80;6,1;6,1;6,1;Geprueft
08.11.80;7,7;7,7;7,7;Geprueft
09.11.80;7,5;7,5;7,5;Geprueft
10.11.80;7,6;7,6;7,6;Geprueft
11.11.80;7,4;7,4;7,4;Geprueft
12.11.80;5,5;5,5;5,5;Geprueft
13.11.80;5,7;5,7;5,7;Geprueft
14.11.80;6;6;6;Geprueft
15.11.80;6,6;6,6;6,6;Geprueft
16.11.80;7,2;7,2;7,2;Geprueft
17.11.80;7,3;7,3;7,3;Geprueft
18.11.80;7,5;7,5;7,5;Geprueft
19.11.80;7,4;7,4;7,4;Geprueft
20.11.80;6,8;6,8;6,8;Geprueft
21.11.80;7,1;7,1;7,1;Geprueft
22.11.80;7;7;7;Geprueft
23.11.80;7,1;7,1;7,1;Geprueft
24.11.80;7,1;7,1;7,1;Geprueft
25.11.80;7;7;7;Geprueft
26.11.80;7,2;7,2;7,2;Geprueft
27.11.80;7,1;7,1;7,1;Geprueft
28.11.80;7,3;7,3;7,3;Geprueft
29.11.80;6,8;6,8;6,8;Geprueft
30.11.80;5,5;5,5;5,5;Geprueft
01.12.80;4,8;4,8;4,8;Geprueft
02.12.80;4,6;4,6;4,6;Geprueft
03.12.80;4,7;4,7;4,7;Geprueft
04.12.80;4,2;4,2;4,2;Geprueft
05.12.80;4;4;4;Geprueft
06.12.80;4;4;4;Geprueft
07.12.80;3,9;3,9;3,9;Geprueft
08.12.80;3,7;3,7;3,7;Geprueft
09.12.80;3,8;3,8;3,8;Geprueft
10.12.80;3,9;3,9;3,9;Geprueft
11.12.80;4,2;4,2;4,2;Geprueft
12.12.80;4,4;4,4;4,4;Geprueft
13.12.80;4,4;4,4;4,4;Geprueft
14.12.80;4,8;4,8;4,8;Geprueft
15.12.80;4,9;4,9;4,9;Geprueft
16.12.80;5,1;5,1;5,1;Geprueft
17.12.80;5;5;5;Geprueft
18.12.80;4,9;4,9;4,9;Geprueft
19.12.80;4;4;4;Geprueft
20.12.80;4,5;4,5;4,5;Geprueft
21.12.80;4,8;4,8;4,8;Geprueft
22.12.80;4,6;4,6;4,6;Geprueft
23.12.80;4,4;4,4;4,4;Geprueft
24.12.80;5;5;5;Geprueft
25.12.80;4,7;4,7;4,7;Geprueft
26.12.80;4,4;4,4;4,4;Geprueft
27.12.80;3,9;3,9;3,9;Geprueft
28.12.80;3,7;3,7;3,7;Geprueft
29.12.80;3,8;3,8;3,8;Geprueft
30.12.80;3,6;3,6;3,6;Geprueft
31.12.80;3,4;3,4;3,4;Geprueft
01.01.81;3,6;3,6;3,6;Geprueft
02.01.81;3,7;3,7;3,7;Geprueft
03.01.81;4;4;4;Geprueft
